Phenotype description	Gene name
cell population proliferation occurs_in otic vesicle decreased occurrence	lrp5
cell proliferation in hindbrain decreased occurrence	lrp5
centrum decreased mass density	lrp5
centrum decreased thickness	lrp5
centrum decreased volume	lrp5
ceratobranchial 1 cartilage aplastic	lrp5
ceratobranchial 1 cartilage hypoplastic	lrp5
ceratobranchial 2 cartilage aplastic	lrp5
ceratobranchial 3 cartilage aplastic	lrp5
ceratobranchial 4 cartilage aplastic	lrp5
ceratobranchial cartilage decreased length	lrp5
ceratobranchial cartilage increased angle to	lrp5
ceratohyal bone increased angle to	lrp5
ceratohyal cartilage decreased length	lrp5
ceratohyal cartilage increased angle to	lrp5
ceratohyal cartilage orientation	lrp5
convergent extension involved in neural plate elongation disrupted	lrp5
cranial neural crest cell decreased amount	lrp5
cranial neural crest cell decreased distribution	lrp5
cranial neural crest cell mislocalised	lrp5
cranial vault decreased mass density	lrp5
cranium increased amount	lrp5
cranium lacks parts or has fewer parts of type	lrp5
cranium malformed	lrp5
dorsal region part_of hindbrain mislocalised	lrp5
embryonic cranial skeleton morphogenesis process quality	lrp5
embryonic viscerocranium morphogenesis process quality	lrp5
eye decreased amount	lrp5
fourth ventricle swollen	lrp5
head decreased length	lrp5
head deformed	lrp5
hindbrain decreased distribution	lrp5
hindbrain increased distribution	lrp5
inner ear morphology	lrp5
liver decreased size	lrp5
magnesium cation part_of bone tissue decreased amount	lrp5
midbrain hindbrain boundary decreased distribution	lrp5
nasal bone increased angle to	lrp5
neural crest cell migration occurs_in cranial neural crest cell decreased process quality	lrp5
neuromast hair cell decreased amount	lrp5
neuromast support cell decreased amount	lrp5
neuromast decreased size	lrp5
osteoclast part_of scale active	lrp5
otic vesicle decreased size	lrp5
otolith absent	lrp5
otolith decreased amount	lrp5
parasphenoid decreased length	lrp5
parasphenoid malformed	lrp5
phosphate part_of bone tissue decreased amount	lrp5
posterior lateral line neuromast decreased amount	lrp5
proximal side part_of lepidotrichium bifurcated	lrp5
rhombomere 6 mislocalised	lrp5
sensory perception of sound disrupted	lrp5
skeletal tissue decreased mass density	lrp5
startle response process quality	lrp5
stereocilium part_of neuromast hair cell decreased amount	lrp5
stereocilium part_of neuromast hair cell decreased length	lrp5
stereocilium part_of neuromast hair cell decreased thickness	lrp5
swimming behavior process quality	lrp5
tail bud decreased distribution	lrp5
vertebral column curved	lrp5
vertebral column kinked	lrp5
whole organism decreased amount	lrp5
whole organism decreased life span	lrp5
whole organism viability	lrp5
	alg11
atrium increased size	eef1a2
brain decreased amount	eef1a2
head decreased size	eef1a2
heart contraction decreased rate	eef1a2
heart contraction irregular rhythm	eef1a2
heart development disrupted	eef1a2
muscle decreased amount	eef1a2
pericardium edematous	eef1a2
whole organism decreased amount	eef1a2
whole organism increased curvature	eef1a2
	abcc8
	aco2
actinotrichium decreased amount	col1a1a
actinotrichium malformed	col1a1a
anterior-most region part_of cranium decreased size	col1a1a
apatite part_of vertebral body end plate crystal configuration	col1a1a
bone mineralization involved in bone maturation decreased rate	col1a1a
bone mineralization decreased process quality	col1a1a
bone mineralization disrupted	col1a1a
bone mineralization occurs_in centrum decreased occurrence	col1a1a
bone mineralization occurs_in centrum decreased process quality	col1a1a
bone mineralization occurs_in hemal arch decreased process quality	col1a1a
bone mineralization occurs_in neural arch decreased process quality	col1a1a
bone resorption occurs_in vertebra increased process quality	col1a1a
bone resorption occurs_in vertebral body end plate increased process quality	col1a1a
carbonate part_of vertebral body end plate increased amount	col1a1a
caudal fin morphology	col1a1a
central region part_of centrum calcified	col1a1a
centrum decreased thickness	col1a1a
centrum decreased volume	col1a1a
centrum dysplastic	col1a1a
centrum poorly ossified	col1a1a
chondrocyte part_of notochord infiltrative	col1a1a
collagen fibril organization occurs_in vertebra decreased process quality	col1a1a
collagen network part_of vertebral body end plate immature	col1a1a
collagen type I trimer part_of bone tissue physical quality	col1a1a
cranial vault decreased thickness	col1a1a
cranial vault morphology	col1a1a
endoplasmic reticulum cisternal network part_of osteoblast increased size	col1a1a
endoplasmic reticulum lumen part_of osteoblast increased size	col1a1a
fibrillar collagen trimer part_of vertebra dense	col1a1a
fin fold actinotrichium absent	col1a1a
fin decreased size	col1a1a
fin deformed	col1a1a
fin malformed	col1a1a
fin undulate	col1a1a
head flattened	col1a1a
hemal arch decreased thickness	col1a1a
hemal arch decreased volume	col1a1a
lacunocanalicular system decreased volume	col1a1a
lepidotrichium decreased mass density	col1a1a
lepidotrichium deformed	col1a1a
lepidotrichium increased thickness	col1a1a
median fin fold decreased length	col1a1a
median fin fold decreased size	col1a1a
median fin fold ruffled	col1a1a
median fin fold undulate	col1a1a
neural arch decreased thickness	col1a1a
neural arch decreased volume	col1a1a
neural spine sloped	col1a1a
notochord structurally discontinuous	col1a1a
ossification disrupted	col1a1a
ossification occurs_in centrum delayed	col1a1a
osteoblast cuboid	col1a1a
osteoblast increased accumulation	col1a1a
osteoclast part_of vertebra ruffled	col1a1a
osteocyte proportionality to	col1a1a
pectoral fin morphology	col1a1a
pectoral fin undulate	col1a1a
pelvic fin atrophied	col1a1a
pelvic fin kinked	col1a1a
phosphate part_of vertebral body end plate decreased amount	col1a1a
rib deformed	col1a1a
rib fragile	col1a1a
rib scarred	col1a1a
skeletal system quality	col1a1a
spinal cord curved	col1a1a
surface structure quality	col1a1a
swim bladder quality	col1a1a
swim bladder uninflated	col1a1a
trunk shortened	col1a1a
vacuole part_of osteoclast increased amount	col1a1a
ventral fin fold decreased size	col1a1a
vertebra collapsed	col1a1a
vertebra composition	col1a1a
vertebra compression-fractured	col1a1a
vertebra decreased mass density	col1a1a
vertebra deformed	col1a1a
vertebra fused with	col1a1a
vertebra shape	col1a1a
vertebral body end plate decreased elasticity	col1a1a
vertebral body end plate decreased thickness	col1a1a
vertebral body end plate deformed	col1a1a
vertebral body end plate mineralized	col1a1a
vertebral column asymmetrically curved	col1a1a
vertebral column condensed	col1a1a
vertebral column decreased length	col1a1a
vertebral column kinked	col1a1a
vesicle part_of osteoclast increased amount	col1a1a
whole organism decreased length	col1a1a
whole organism shape	col1a1a
anal fin has fewer parts of type	ednrba
caudal fin has fewer parts of type	ednrba
dermis part_of trunk has fewer parts of type	ednrba
iridophore differentiation decreased occurrence	ednrba
iridophore decreased amount	ednrba
iridophore irregular spatial pattern	ednrba
iridophore part_of hypodermal cell decreased amount	ednrba
iridophore part_of peritoneum absent	ednrba
iridophore part_of trunk mislocalised	ednrba
melanocyte irregular spatial pattern	ednrba
melanocyte part_of hypodermal cell decreased amount	ednrba
melanocyte part_of trunk mislocalised	ednrba
melanophore stripe lacks parts or has fewer parts of type	ednrba
melanophore stripe part_of trunk has fewer parts of type	ednrba
melanophore stripe part_of trunk malformed	ednrba
myelin sheath part_of oligodendrocyte decreased amount	ednrba
oligodendrocyte part_of spinal cord increased amount	ednrba
pigment cell quality	ednrba
pigmentation disrupted	ednrba
trunk has fewer parts of type	ednrba
ventral region part_of spinal cord has extra parts of type	ednrba
xanthophore spatial pattern	ednrba
CaP motoneuron decreased length	dctn1a
Muller cell decreased amount	dctn1a
apical protein localization disrupted	dctn1a
cell death occurs_in retina increased occurrence	dctn1a
cell projection part_of Muller cell decreased amount	dctn1a
cell projection part_of Muller cell disorganized	dctn1a
central region part_of retina lacks all parts of type	dctn1a
eye photoreceptor cell decreased amount	dctn1a
eye photoreceptor cell shape	dctn1a
eye decreased diameter	dctn1a
eye decreased size	dctn1a
eye quality	dctn1a
filopodium part_of CaP motoneuron decreased length	dctn1a
horizontal cell decreased amount	dctn1a
lens protruding	dctn1a
nervous system quality	dctn1a
neuromuscular junction of skeletal muscle fiber part_of CaP motoneuron increased width	dctn1a
neuromuscular synaptic transmission occurs_in CaP motoneuron amplitude	dctn1a
neuron projection part_of CaP motoneuron decreased amount	dctn1a
neuron projection part_of CaP motoneuron decreased size	dctn1a
nuclear migration disrupted	dctn1a
nucleus part_of photoreceptor cell disorganized	dctn1a
nucleus part_of retina mislocalised	dctn1a
peripheral region part_of retina morphology	dctn1a
photoreceptor cell absent	dctn1a
photoreceptor cell circular	dctn1a
photoreceptor cell decreased amount	dctn1a
photoreceptor cell morphology	dctn1a
photoreceptor cell part_of retinal photoreceptor layer absent	dctn1a
photoreceptor inner segment part_of photoreceptor cell absent	dctn1a
photoreceptor outer segment part_of photoreceptor cell decreased amount	dctn1a
photoreceptor outer segment part_of photoreceptor cell decreased size	dctn1a
photoreceptor outer segment part_of photoreceptor cell disorganized	dctn1a
photoreceptor outer segment part_of photoreceptor cell morphology	dctn1a
retina layer formation disrupted	dctn1a
retina lacks parts or has fewer parts of type GO:0001750	dctn1a
retina quality	dctn1a
retinal bipolar neuron decreased amount	dctn1a
retinal ganglion cell increased amount	dctn1a
retinal ganglion cell mislocalised	dctn1a
retinal ganglion cell part_of retinal ganglion cell layer increased amount	dctn1a
retinal photoreceptor layer absent	dctn1a
retinal photoreceptor layer aplastic	dctn1a
retinal photoreceptor layer mislocalised	dctn1a
retinal photoreceptor layer morphology	dctn1a
retinal photoreceptor layer poorly differentiated	dctn1a
sensory system quality	dctn1a
swimming decreased duration	dctn1a
synapse part_of CaP motoneuron decreased amount	dctn1a
synapse part_of CaP motoneuron decreased size	dctn1a
synapse part_of CaP motoneuron morphology	dctn1a
synapse part_of eye photoreceptor cell poorly differentiated	dctn1a
whole organism lethal (sensu genetics)	dctn1a
amacrine cell mislocalised	cyfip2
anterior-posterior axis part_of whole organism decreased length	cyfip2
axon guidance occurs_in retinal ganglion cell process quality	cyfip2
axon part_of retinal ganglion cell branched	cyfip2
axon part_of retinal ganglion cell displaced	cyfip2
axon part_of retinal ganglion cell irregular spatial pattern	cyfip2
axon part_of retinal ganglion cell misrouted	cyfip2
axon part_of retinal ganglion cell organization quality	cyfip2
behavior quality	cyfip2
brain quality	cyfip2
cranial nerve II composition	cyfip2
dorsomedial optic tract composition	cyfip2
hindbrain absent	cyfip2
larval locomotory behavior disrupted	cyfip2
larval locomotory behavior process quality	cyfip2
musculoskeletal movement disrupted	cyfip2
nervous system quality	cyfip2
neural tube quality	cyfip2
neuromuscular process controlling balance quality	cyfip2
optic tectum absent	cyfip2
optic tectum composition	cyfip2
optic tectum flattened	cyfip2
optic tract composition	cyfip2
retina layer formation process quality	cyfip2
retinal ganglion cell axon guidance process quality	cyfip2
retinal ganglion cell axon guidance quality	cyfip2
retinal ganglion cell mislocalised	cyfip2
retinal inner plexiform layer absent	cyfip2
retinal outer plexiform layer absent	cyfip2
startle response increased occurrence	cyfip2
startle response increased sensitivity of a process	cyfip2
swim bladder development process quality	cyfip2
swim bladder aplastic	cyfip2
whole organism circling	cyfip2
whole organism decreased behavioural activity	cyfip2
whole organism lethal (sensu genetics)	cyfip2
whole organism movement quality	cyfip2
whole organism unbalanced	cyfip2
whole organism viability	cyfip2
	pnkp
	SCARF2
	FO834799.1
establishment of mitotic spindle orientation occurs_in epiblast disrupted	sptlc1
mitotic spindle part_of epiblast anterior-posterior polarity	sptlc1
mitotic spindle part_of epiblast disorganized	sptlc1
sphinganine biosynthetic process occurs_in whole organism decreased rate	sptlc1
sphinganine part_of whole organism decreased amount	sptlc1
sphingolipid part_of whole organism decreased amount	sptlc1
swim bladder uninflated	sptlc1
trunk curved	sptlc1
whole organism decreased size	sptlc1
	ndufaf3
	cidec
	gnrhr1
	slc25a26
	CR631122.1
	isg15
	ca4a
	aqp8a.2
	ndufa12
	mars2
adult behavior process quality	slc6a3
behavior process quality	slc6a3
dopamine part_of brain decreased amount	slc6a3
dopaminergic neuron part_of midbrain decreased amount	slc6a3
locomotory behavior process quality	slc6a3
neuron projection arborization occurs_in midbrain decreased occurrence	slc6a3
neuron part_of midbrain decreased amount	slc6a3
